BOR;AN;FI;FI_EJ;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;PLAMED;AUTOBS;PLAOBS;AUTSSR;PLASSR;AUTCAN;PLACAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2013;010000024;010780054;0;;;;;241000;1;0;0;0;1;1;;;1;;0;;1;;1;;30;540;0;136;243;10205;0;3740;1456;255;0;103;59;52;25;7;5;0;2;0
HAD;2013;010005379;690006598;0;;;;;140000;0;0;0;0;1;1;0;0;1;60;1;60;1;60;1;60;60;282;0;71;18;13199;0;3050;653;163;0;53;12;67;28;2;23;0;6;0
HAD;2013;020000089;020000022;0;;;;;37785;0;0;0;0;1;0;0;0;1;15;0;;0;;0;;15;109;1;45;4;5095;23;1430;199;61;1;28;3;21;10;0;4;0;4;0
HAD;2013;020000105;020000055;1;2;020000055;;;44880;0;0;0;0;1;0;0;0;1;15;0;;0;;0;;15;102;0;48;3;4127;0;1763;33;70;0;39;1;26;17;0;8;0;3;0
HAD;2013;020004297;020005179;0;;;;;197479;0;0;0;0;1;1;;;1;44;0;;0;;0;;44;254;0;118;0;9265;0;3897;0;154;0;74;0;50;22;0;4;0;1;0
HAD;2013;020010898;750721334;0;;;;;54000;0;0;0;0;;;;;1;25;1;25;1;25;1;25;25;144;0;26;2;5520;0;805;394;85;0;21;2;24;7;0;0;0;0;0
HAD;2013;020011698;020006318;0;;;;;83086;1;1;0;0;1;0;0;0;1;20;0;;0;;0;;20;141;0;42;4;4327;0;1648;146;93;0;33;3;29;11;0;2;0;0;0
HAD;2013;020014767;590805065;0;;;;;300000;0;0;0;0;1;0;0;0;1;40;0;;0;;0;;40;248;0;25;1;11552;0;1050;7;155;0;18;1;58;5;0;8;0;0;0
HAD;2013;030000061;030780092;1;1;030000061;;;;1;1;0;0;1;1;0;0;1;12;0;;0;;0;;12;244;0;10;9;3584;0;73;101;178;0;10;7;42;5;1;6;0;1;0
HAD;2013;030000079;030780100;0;;;;;127571;1;0;0;0;1;1;;;1;30;0;;0;;0;;30;249;0;46;3;3711;0;646;32;139;0;33;3;26;10;0;11;0;5;0
HAD;2013;030000087;030780118;1;2;;;;230000;1;0;0;0;1;1;0;1;1;50;0;;0;;0;;50;576;4;78;40;15223;87;1819;1342;384;3;66;27;114;22;5;47;0;4;0
HAD;2013;050007368;050007343;1;2;050007368;050007368;;;0;0;0;0;1;1;;;1;38;0;;0;;0;;38;258;1;100;21;10015;15;4395;401;174;1;78;11;57;33;4;11;0;7;0
HAD;2013;060000478;060780897;0;;;;;;1;1;0;0;1;0;0;0;1;15;0;;0;;0;;15;79;0;13;1;4477;0;510;2;61;0;11;1;18;1;0;13;0;0;0
HAD;2013;060000544;060780988;0;;;;;215904;0;0;0;0;1;0;0;0;1;10;0;;0;;1;10;20;286;0;108;23;5697;0;1938;616;87;0;42;4;33;17;0;0;0;0;0
HAD;2013;060006558;060798865;0;;;;;182000;0;0;0;0;1;0;0;0;1;30;0;;0;;0;;30;221;0;83;16;8645;0;2206;397;163;0;68;9;63;32;0;16;0;8;0
HAD;2013;060785243;060001484;0;;;;;752000;1;1;0;0;1;1;;;1;160;0;0;1;5;1;5;170;1127;0;358;51;56208;0;9811;810;803;0;264;38;375;106;8;89;0;11;0
HAD;2013;070000609;070005566;0;;;;;80000;1;1;0;0;1;1;0;0;1;24;0;;0;;0;;24;263;0;120;16;7379;0;2797;635;167;0;92;12;60;32;1;13;0;10;0
HAD;2013;080008279;080001969;0;;;;;65527;1;1;0;0;1;0;1;0;1;16;0;;0;;0;;16;183;0;94;5;5701;0;2184;21;115;0;61;4;56;30;1;0;0;0;0
HAD;2013;080010267;080010242;0;;;;;218100;0;0;0;0;1;0;0;0;1;50;0;;0;;0;;50;306;0;112;0;13406;0;4063;0;189;0;76;0;58;21;0;2;0;1;0
HAD;2013;090000175;090781774;0;;;;;80000;0;0;0;0;1;1;;;1;30;1;8;0;;0;;38;517;302;68;44;9795;2324;2007;509;417;279;60;11;33;12;0;0;0;0;0
HAD;2013;090002478;090002429;0;;;;;34117;1;1;0;0;1;0;1;0;1;20;0;;0;;0;;20;221;0;60;16;5995;0;1525;250;168;0;45;12;76;27;1;17;0;7;0
HAD;2013;100007699;100006279;0;;;;;69767;1;1;0;0;1;1;;;1;40;0;;0;;0;;40;282;0;43;12;4135;0;1132;102;145;0;38;4;52;9;1;25;0;4;0
HAD;2013;100008903;100007335;0;;;;;261900;1;0;0;0;1;1;;;1;40;0;;0;;0;;40;582;0;231;4;14289;0;7742;219;277;0;155;4;98;60;0;12;0;9;0
HAD;2013;110000247;110780772;0;;;;;39315;1;1;0;0;1;0;0;0;1;;1;;1;;1;;6;77;0;33;6;2995;0;1250;313;52;0;22;3;27;14;1;5;0;0;0
HAD;2013;110005048;110000114;0;;;;;115000;1;0;0;0;1;1;;;1;16;1;16;0;;1;16;16;164;1;26;8;5198;6;610;129;102;1;24;3;28;8;1;11;0;1;0
HAD;2013;110005394;750047367;0;;;;;190000;0;0;0;0;;;;;1;45;0;;0;;0;;45;240;0;122;9;7469;0;3282;137;157;0;90;8;48;27;0;14;0;7;0
HAD;2013;120783618;120784616;0;;;;;;0;0;0;0;1;1;0;0;1;64;1;10;0;;0;;64;706;88;183;26;23917;1315;4656;513;524;79;150;20;203;71;3;44;0;18;0
HAD;2013;130000409;130041916;0;;;;;154467;1;;0;0;1;1;;;1;8;0;;0;;1;8;8;87;0;32;5;2913;0;1014;55;58;0;27;19;2;0;2;0;0;0;0
HAD;2013;130000565;130781446;0;;;;;90439;0;0;0;0;1;1;;;1;20;0;;0;;0;;20;167;50;18;24;4071;814;375;514;121;42;14;11;33;9;4;28;0;7;0
HAD;2013;130001647;130784127;0;;;;;;0;0;0;0;0;1;;;1;20;0;;0;;1;20;20;1605;0;0;1548;7919;0;0;7116;319;0;0;290;31;0;29;0;0;0;0
HAD;2013;130002215;130785512;0;;;;;154127;0;0;;;1;0;0;0;1;20;1;20;1;20;1;20;20;106;0;22;12;3547;0;454;123;67;0;19;6;30;10;0;9;0;1;0
HAD;2013;130021488;130021439;0;;;;;;1;1;0;0;1;0;1;0;1;40;0;;0;;0;;40;223;0;48;4;9381;0;1730;43;176;0;39;3;109;24;2;67;0;12;0
HAD;2013;130021819;130021769;0;;;;;560000;1;0;0;0;1;1;;;1;60;0;;0;;0;;60;415;0;108;24;15541;0;3345;610;298;0;83;13;116;37;2;49;0;18;1
HAD;2013;130022619;130810161;0;;;;;105200;1;0;0;0;1;1;;;1;40;1;40;1;40;0;;40;156;0;54;6;5903;0;1574;102;101;0;41;4;56;30;1;6;0;3;0
HAD;2013;130024458;130804396;0;;;;;;0;0;0;0;1;1;;0;1;40;0;;0;;0;;40;406;0;177;6;16360;0;5767;117;250;0;136;2;130;72;0;72;0;43;0
HAD;2013;130782071;130002454;0;;;;;141287;1;0;0;0;1;1;;;1;25;0;;0;;0;;25;167;0;12;155;12030;0;615;2008;114;0;24;21;56;11;0;22;0;5;0
HAD;2013;130783236;130786049;0;;;;;;0;0;0;0;1;1;0;0;1;35;1;15;0;;0;;50;862;373;28;22;20367;6133;680;1274;663;323;26;14;81;14;7;4;0;3;0
HAD;2013;130785652;130014228;0;;;;;156038;1;1;0;0;1;0;0;0;1;10;1;10;0;0;1;10;30;469;17;46;200;11113;396;965;652;226;15;38;33;100;17;10;54;0;12;0
HAD;2013;130802143;130804396;0;;;;;;0;0;0;0;1;1;0;0;1;60;0;;0;;0;;60;514;0;226;5;18865;0;7065;53;320;0;129;2;150;65;0;22;0;6;0
HAD;2013;130809015;130001928;0;;;;;850000;1;0;0;0;1;0;0;0;1;25;0;;0;;0;;25;152;0;46;1;7532;0;1608;74;122;0;40;1;98;36;1;95;0;35;1
HAD;2013;140000027;140000035;1;1;610780157;;;;1;1;0;0;1;1;;;1;;1;;1;;1;;30;399;0;69;14;12464;0;1357;403;260;0;60;9;118;32;0;22;0;6;1
HAD;2013;140000076;140000084;0;;;;;45000;0;0;0;0;1;1;;;1;12;0;;0;;0;;12;109;0;61;5;3829;0;1765;207;77;0;48;3;30;19;0;13;0;6;0
HAD;2013;140000209;140000100;0;;;;;;0;0;0;0;1;1;;;1;5;0;;0;;0;;5;523;428;0;0;2897;1546;0;0;506;422;0;0;0;0;0;0;0;0;0
HAD;2013;140000233;140000118;0;;;;;67000;1;1;0;0;1;1;0;0;1;12;0;;0;;0;;12;155;0;92;1;3559;0;1934;7;102;0;56;1;41;21;0;12;0;10;0
HAD;2013;140000258;140000415;0;;;;;;0;0;0;0;1;1;;;1;14;1;1;0;0;0;0;15;142;;;;5394;;;;109;;;;57;;;;;;
HAD;2013;140000373;140000159;1;3;140000373;500021282;500021274;;1;1;0;0;1;1;;;1;16;0;;0;;0;;16;157;0;53;9;5219;0;1417;225;98;0;43;5;46;26;2;6;0;2;0
HAD;2013;140002619;750721334;0;;;;;300000;1;1;0;0;1;0;1;1;1;60;0;;0;;0;;60;440;0;116;2;17278;0;2979;19;319;0;100;2;127;43;1;36;0;10;0
HAD;2013;140016155;140027426;0;;;;;86810;1;1;0;1;1;1;;;1;40;0;;0;;0;;40;325;0;142;10;13345;0;3672;398;209;0;104;8;88;41;0;9;0;3;0
HAD;2013;150000040;150780096;0;;;;;;1;1;0;;1;;1;;1;;0;;0;;1;;10;146;0;12;12;2749;0;64;51;92;0;12;3;23;4;0;8;0;1;0
HAD;2013;160002036;160009908;0;;;;;356918;1;0;0;0;1;0;1;0;1;85;1;5;0;;0;;90;923;100;254;121;26935;1444;6330;3698;632;97;189;78;168;58;18;7;0;1;0
HAD;2013;170000087;170023279;0;;;;;220000;1;0;0;0;0;0;1;0;1;65;1;;1;;1;;65;613;2;235;6;17195;14;6925;457;366;2;161;6;83;32;1;19;0;2;1
HAD;2013;170000103;170780175;1;3;170000103;170000095;170000038;208000;1;0;0;0;1;0;0;0;1;31;0;;0;;0;;31;326;0;186;6;9930;0;6208;35;229;0;141;1;68;42;0;21;0;13;0
HAD;2013;170021661;170020432;0;;;;;186552;1;0;0;0;0;0;0;0;1;40;0;;0;;0;;40;305;0;90;27;7693;0;1742;515;221;0;73;19;60;19;3;14;0;5;0
HAD;2013;180000010;180000028;1;1;180000010;;;170000;1;1;0;0;1;1;;;1;22;0;;0;;0;;22;231;0;94;2;6848;0;1922;7;138;0;66;2;41;23;0;14;0;7;0
HAD;2013;180008278;750047367;0;;;;;180000;0;0;0;0;;;;;1;43;0;;0;;0;;43;181;0;98;1;6986;0;3731;6;124;0;65;1;30;16;0;7;0;1;0
HAD;2013;190000026;190000059;0;;;;;251175;1;0;1;0;0;0;0;0;1;35;0;;0;;0;;35;372;0;211;13;9884;0;4848;163;255;0;158;9;101;69;1;43;0;30;0
HAD;2013;190010629;190010579;0;;;;;;1;0;0;0;1;1;;;1;60;0;;0;;0;;60;1535;0;171;1220;14722;0;6798;2510;357;0;132;144;80;43;22;3;0;1;1
HAD;2013;210003059;210987400;0;;;;;325000;1;1;0;0;1;1;;;1;43;1;43;0;;0;;43;394;0;121;12;13270;0;3439;354;235;0;81;4;87;45;0;14;0;12;0
HAD;2013;210780789;210003208;0;;;;;250000;1;0;0;0;1;1;;;1;30;0;;0;;0;;30;186;0;83;5;6227;0;2529;47;144;0;66;5;61;32;2;10;0;8;0
HAD;2013;210987657;210780714;0;;;;;95000;1;1;0;0;1;1;0;0;1;20;0;;0;;0;;20;97;0;32;1;2626;0;723;5;65;0;18;1;17;8;0;0;0;0;0
HAD;2013;210987731;210780417;0;;;;;;1;1;0;0;1;1;0;0;0;0;0;;0;;1;12;12;529;0;65;413;5722;0;1329;3043;98;0;40;58;12;5;8;0;0;0;0
HAD;2013;220000368;220000103;1;1;220000368;;;;1;1;0;0;1;1;;;1;25;1;2;0;;0;;27;334;85;94;17;8756;775;2631;657;268;83;73;12;53;15;1;3;0;0;0
HAD;2013;220000541;220000152;0;;;;;;;;;;;;;;1;5;0;;0;;0;;5;109;;;;2637;;;;80;;;;62;;;12;;;
HAD;2013;220019616;220019608;0;;;;;;0;0;0;0;1;1;;;0;30;0;;0;;0;;30;333;0;94;17;7966;0;1494;377;240;0;83;14;76;32;2;18;0;7;0
HAD;2013;220020341;350000626;1;4;350044772;290033679;560022188;;0;;0;0;1;1;;;1;20;0;;0;;0;;20;119;0;30;5;3144;0;704;95;83;0;26;5;30;13;1;7;0;2;0
HAD;2013;230782617;750000218;0;;;;;127500;0;0;0;0;1;0;1;0;1;;1;;1;;1;;25;277;0;74;73;8236;0;2422;782;145;0;60;22;41;20;5;5;0;2;1
HAD;2013;240000489;240000117;0;;;;;119806;1;1;0;0;0;0;1;0;1;12;1;6;1;5;0;0;23;180;0;67;30;7275;0;2166;422;100;0;46;6;35;13;1;12;0;3;0
HAD;2013;240000687;240000448;0;;;;;;0;0;0;0;1;1;;;1;;0;;1;;1;;30;101;0;36;1;3575;0;710;34;72;0;28;1;26;10;0;9;0;4;0
HAD;2013;240011668;240000612;0;;;;;;0;0;0;0;1;1;;;1;30;0;;0;;0;;30;236;0;84;9;5884;0;1770;211;175;0;73;8;75;30;1;8;0;2;0
HAD;2013;250000114;900000365;1;1;250000114;;;;0;0;0;0;0;1;1;;0;;1;5;0;;0;;5;173;170;0;0;938;921;0;0;163;160;0;0;0;0;0;0;0;0;0
HAD;2013;250012069;250017803;0;;;;;118592;1;0;0;0;1;0;1;0;0;;0;0;0;0;0;0;30;144;0;62;3;4806;0;1406;17;104;0;52;1;31;22;0;14;0;11;0
HAD;2013;250012838;250017803;0;;;;;222939;0;0;0;0;1;0;1;0;0;;0;15;0;;0;;15;492;488;0;0;3475;3447;0;0;477;473;0;0;0;0;0;0;0;0;0
HAD;2013;250016037;250017803;0;;;;;324726;1;1;0;0;1;0;1;0;0;;0;;0;;0;;25;288;0;186;0;12066;0;7433;0;194;0;123;0;36;25;0;0;0;0;0
HAD;2013;250016045;250017803;0;0;;;;222939;1;0;0;0;1;0;1;0;0;;0;;0;;0;;25;348;105;114;0;12747;708;5034;0;238;84;81;0;40;26;0;8;0;6;0
HAD;2013;260000138;260000047;0;;;;;182337;1;0;0;0;1;0;1;0;1;22;0;;0;;0;;22;274;1;101;23;9226;32;2795;233;186;1;77;14;45;29;3;5;0;4;0
HAD;2013;260000146;260000054;1;4;260000146;;;450000;1;0;0;0;1;1;;;1;120;0;;0;;0;;120;1313;413;453;73;42766;4040;19011;1075;937;375;344;43;195;149;3;39;0;32;0
HAD;2013;260013388;260007018;0;;;;;800000;1;1;0;0;1;1;1;;1;52;0;;0;;0;;52;299;3;70;36;10237;61;1465;1446;196;3;62;16;46;24;3;11;0;6;0
HAD;2013;270000441;270000110;0;0;;;;;0;0;0;0;1;1;0;0;1;16;1;16;1;16;1;16;16;86;0;19;4;2513;0;331;120;66;0;18;4;21;7;1;16;0;5;0
HAD;2013;270016058;270016009;0;;;;;220000;0;0;0;0;;;;;1;52;0;;0;;0;;52;305;0;78;88;9938;0;2166;1536;151;0;57;28;36;17;5;0;0;0;0
HAD;2013;270019649;270019508;1;2;270019649;270019649;;140000;1;0;0;0;1;1;0;0;1;27;1;3;0;;0;;30;272;0;37;18;8530;0;417;268;158;0;26;6;44;3;1;0;0;0;0
HAD;2013;280001678;450011150;0;;;;;303470;1;1;0;0;1;1;0;0;1;20;1;5;0;;1;5;30;863;532;65;108;10793;3846;1412;769;666;510;50;16;25;15;1;2;0;0;0
HAD;2013;280003898;450011150;0;;;;;69092;1;1;0;0;1;1;0;0;1;10;1;5;0;;1;5;20;130;48;20;17;2241;308;565;152;101;48;14;4;13;6;1;0;0;0;0
HAD;2013;280003948;450011150;0;;;;;57854;1;1;0;0;1;1;0;0;1;10;1;5;0;;1;5;20;107;38;20;10;1601;243;583;111;76;38;13;1;12;3;1;0;0;0;0
HAD;2013;290000025;290020700;1;1;290000025;;;321294;1;1;0;0;0;0;1;0;1;29;1;5;0;0;1;1;35;494;118;116;92;9139;691;2919;165;351;118;95;12;65;24;1;2;0;1;0
HAD;2013;290000140;290000447;1;1;290000140;;;;0;0;0;0;1;1;;;1;55;1;0;0;0;1;5;60;748;0;140;24;16234;0;2977;511;505;0;120;19;162;62;7;64;0;29;0
HAD;2013;290032838;290032820;0;;;;;;0;0;0;0;1;1;;;1;30;0;;0;;0;;30;207;0;41;16;4103;0;670;245;127;0;34;13;27;10;1;11;0;4;0
HAD;2013;290033679;350000626;1;4;350044772;220020341;560022188;;0;;0;0;1;1;;;1;20;0;;0;;0;;20;110;0;31;0;2161;0;509;0;76;0;29;0;26;10;0;8;0;3;0
HAD;2013;2A0001988;2A0001848;0;;;;;79000;1;0;0;0;1;1;;;1;20;0;;0;;0;;25;169;0;92;1;7181;0;3501;624;103;0;43;5;43;25;0;1;0;0;0
HAD;2013;2A0002614;2A0002606;0;;;;;;0;0;0;0;1;1;;;1;10;0;;0;;0;;10;89;0;45;0;3156;0;1270;0;56;0;29;0;21;13;0;7;0;5;0
HAD;2013;2B0000038;2B0004246;0;;;;;;0;0;0;0;1;1;;;1;5;1;5;1;5;1;5;20;29;0;6;4;1539;0;326;156;17;0;5;2;10;5;0;0;0;0;0
HAD;2013;2B0001739;2B0001689;1;1;2B0001739;;;121310;0;0;;;1;1;;;1;;1;;1;;1;;;322;1;51;36;12969;151;1301;1520;195;1;38;18;81;11;5;8;0;2;0
HAD;2013;2B0003289;2B0003198;0;;;;;;1;1;0;0;1;1;;;1;35;0;;0;;1;35;35;356;0;213;44;12369;0;9171;1380;187;0;113;22;64;41;1;10;0;6;0
HAD;2013;300000031;300780053;1;3;300000031;300000056;300000064;;1;0;0;0;1;1;;;1;13;0;;0;;0;;13;113;;43;2;4051;;984;79;53;;25;2;31;5;1;2;;1;0
HAD;2013;300000056;300780079;0;3;300780079;300780053;300780087;19873;0;0;0;0;1;1;;;1;5;0;;0;;0;;5;30;;;;1519;;;;20;;;;11;;;4;;;
HAD;2013;300000064;300780087;0;;;;;93000;1;1;0;0;1;1;;;1;8;0;;1;8;1;8;8;;;;;;;;;;;;;;;;;;;
HAD;2013;300012309;340784933;0;;;;;200000;1;1;0;0;1;1;;;0;20;0;;0;;1;30;50;362;0;164;8;16186;0;6853;236;258;0;126;4;98;45;2;17;0;13;0
HAD;2013;300013745;340784933;0;;;;;100000;1;1;0;0;1;1;;;1;15;0;;0;;1;15;30;147;0;51;15;6001;0;1251;819;107;0;43;9;29;13;1;5;0;3;0
HAD;2013;300013778;300013760;0;;;;;380000;0;0;0;0;1;1;;;1;30;0;;0;;0;;30;163;0;82;0;6309;0;3443;0;125;0;65;0;70;32;0;14;0;4;0
HAD;2013;300013786;300780038;1;2;300013786;300782117;;400000;1;1;0;0;;;;;1;44;1;5;0;;1;1;50;543;87;112;19;13688;1608;2248;435;417;70;105;14;106;41;3;29;0;8;0
HAD;2013;310000310;310780671;0;;;;;80000;1;1;0;0;1;1;;;1;20;0;;0;;0;;20;204;0;73;38;5579;0;1802;1128;157;0;66;27;61;24;4;10;0;2;0
HAD;2013;310005459;310021886;1;2;310005459;310005459;;900000;0;0;0;0;1;1;;;0;;0;;0;;0;;100;1232;199;179;413;27072;4849;5584;2092;579;184;132;69;94;30;17;15;0;3;0
HAD;2013;310016977;310781406;0;;;;;800000;1;1;0;0;1;1;;;1;10;0;;0;;0;;10;260;250;4;0;2894;1982;108;0;236;227;4;0;0;0;0;0;0;0;0
HAD;2013;310780259;310000096;1;2;310780259;310780259;;828024;1;1;0;0;1;1;0;0;1;55;0;;0;;1;5;60;745;0;289;121;18755;0;7416;1017;504;0;237;46;107;59;3;0;0;0;0
HAD;2013;320004328;750721334;0;;;;;;0;0;0;0;0;0;0;0;1;30;0;;0;;0;;30;108;0;16;0;3069;0;373;0;70;0;13;0;17;4;0;1;0;0;0
HAD;2013;330000332;330780545;0;;;;;329000;1;0;0;0;1;1;;;1;59;0;;0;;1;1;60;480;1;143;14;19912;21;3993;85;311;1;104;4;120;39;1;15;0;2;0
