BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2013;690019849;690781810;1;0;27;12;584;2164;3008;;2;;1;;3.02;0;0;1;1;14;1;;;;10;3;;;;;15.49;1;1;;;;10.94
MCOPED;2013;690784178;690781810;1;0;;5;6;1087;0;;;;;0.3;0.1;0;0;0;0;;;;;;;;;;;;0.43;1;;;;0.15;0.77
MCOPED;2013;690784186;690781810;1;0;19;0;585;3;6183;;;;;0.34;0.25;1;1;1;1;;;;;;;;;;;;3.77;;3.48;;;;4.18
MCOPED;2013;690807599;690006598;1;0;12;0;480;41;1612;;;4;4;2.82;2.82;0;0;1;1;3;2;8;;;1;1;1;3;1;1;2.93;1;3;11.75;0.07;0.29;1.5
MCOPED;2013;700000029;700004591;1;0;6;6;2261;905;5106;1;;;;1;;0;0;0;0;;;;;;;;;;;;;;;;;;
MCOPED;2013;710010067;710780644;1;0;12;;1027;266;2207;2;;;;1.7;;;;;;;4;4;;;1;;4;3;;;;1;6.41;5.8;;;1.4
MCOPED;2013;710010786;710781451;1;0;5;0;278;25;707;;;2;2;1.71;1.64;0;0;1;1;;;;;;;8;;4;3;;2.09;23;;1.14;0.17;;4.66
MCOPED;2013;710978263;710780958;1;0;18;;1488;551;4020;4;4;4;4;1.2;1.2;1;1;0;0;8;6;6;0;0;6;3;1;4;0;3;8.76;0;6.71;8.94;0;0.62;5.5
MCOPED;2013;710978289;710780263;1;1;16;0;1391;293;3148;9;8;1;;5.61;4.4;1;1;1;1;5;8;8;;;5;3;5;5;;;7.4;3;11.7;12;;;7.4
MCOPED;2013;720000033;720000025;1;1;67;8;4799;3054;14627;3;0;13;11;6.65;3.32;1;1;0;0;20;5;24;;;7;20;5;24;;;32.55;6;8.35;39.56;;;10.63
MCOPED;2013;720016179;720016724;1;0;8;;836;345;2200;2;2;2;2;3.13;3.13;1;1;0;0;1;2;;;;4;4;3;5;;3;3.31;3;3.6;3.55;;0.64;5.82
MCOPED;2013;730000031;730000015;1;1;48;8;3398;1527;10273;;;;;;;;;;;16;18;;;1;48;8;8;;;1;19.88;17;23.94;;;1.25;52.85
MCOPED;2013;730000262;730002839;1;0;14;0;1259;250;2780;3;3;2;2;2.03;2.03;0;;1;;;;1;;;3;8;12;16;;;5.51;5;7.33;9.33;;;7.03
MCOPED;2013;740000237;740781133;1;1;36;4;2812;622;7973;8;8;4;3;7.19;7.07;1;1;0;0;17;14;27;0;0;10;6;3;6;0;0;18.24;4;11.71;32.19;0;0;13.24
MCOPED;2013;740000302;740781216;1;0;8;0;900;203;2007;0;0;1;1;0.5;0.5;0;0;1;1;6;2;5;;;1;3;2;3;;;8.1;1;3.6;7.35;;;1.75
MCOPED;2013;740000328;740790381;1;0;14;2;1706;527;3936;6;6;2;2;3.57;3.57;0;0;1;1;24;;7;;;24;;;;;;11.09;;;2.85;;;6.84
MCOPED;2013;740781141;740790258;1;0;19;3;1956;648;5315;5;5;16;16;4.06;4.06;0;0;1;1;8;2;5;;;8;4;0;2;;1;10;1;3.12;8.17;;0.5;7.75
MCOPED;2013;740781224;740001839;1;1;22;4;1828;697;4689;1;1;1;1;1.54;1.54;0;0;1;1;9;3;6;;;5;7;3;5;;1;9.87;5;3;7.81;;0.75;6.65
MCOPED;2013;750000549;750150229;1;0;25;1;305;400;1719;5;2;5;3;7.75;3.6;0;0;1;1;;1;1;;;3;;;;;1;;1;1;1;;0.5;3.56
MCOPED;2013;750100109;750712184;1;;267;36;10602;9029;42946;102;80;90;76;139.5;106.5;1;1;0;0;178;19;142;10;13;93;53;2;26;2;4;224.5;31;21;167.3;10.33;14.8;116.1
MCOPED;2013;750100166;750712184;1;0;10;6;229;1142;3160;2;;1;;2.5;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2013;750100208;750712184;1;1;432;65;17597;14943;85468;256;;255;;274.45;;1;1;1;1;332;33;81;23;17;310;42;6;8;6;8;323.04;32;28.15;86.33;26.01;21.21;328.84
MCOPED;2013;750160012;750813321;1;0;16;5;1210;1526;4685;5;5;4;4;7.82;7.82;0;0;1;1;13;6;8;;;11;11;4;0;;;22.35;3;9.43;8;;;13.58
MCOPED;2013;750300121;750052037;1;;;;;;;0;;13;;2.45;;;;1;;;;;;;;;;;;;;;;;;;
MCOPED;2013;750803454;750712184;1;1;203;30;12045;13243;55593;70;43;184;42;133.6;61.1;1;1;1;1;223;37;66;15;10;191;40;8;12;4;7;254.2;38;43.4;75.7;17.5;13.68;216
MCOPED;2013;760000018;760780023;1;1;21;2;1352;448;2617;2;2;3;3;4.21;4.21;0;0;1;1;8;1;0;0;1;12;12;4;0;0;0;16.23;8;4.61;0;0;0.7;18.11
MCOPED;2013;760000158;760780239;1;1;208;18;8453;4473;40468;22;15;11;6;23.12;12.63;;;;;122;49;90;;6;71;76;41;48;;5;173.25;21;80.62;117.94;;5.33;81.16
MCOPED;2013;760000364;760780734;1;0;11;1;870;57;2562;2;2;1;1;2.2;2.6;0;0;1;1;10;1;0;0;0;10;2;1;0;0;0;11.35;1;2.05;0;0;0.02;8.29
MCOPED;2013;760000463;760024042;1;1;12;0;1359;75;3732;;6;;;;5.16;;1;;1;15;1;2;0;0;12;5;1;0;0;0;17.33;10;0.06;2.39;0;0;18.68
MCOPED;2013;760805770;760780726;1;1;61;10;4747;2531;13727;19;19;6;6;8.7;8.7;1;1;1;1;43;8;0;0;0;69;33;9;0;0;1;60.1;38;14.73;0;0;0.8;107
MCOPED;2013;770000131;770110013;1;1;10;;820;44;2143;5;4;2;2;5.7;4.7;1;1;;0;12;4;15;;;;;;;;;11;;4;14.6;;;
MCOPED;2013;770000149;770110021;1;1;15;3;1379;1119;3521;6;6;5;5;7.98;7.98;1;1;0;0;10;2;4;;;8;3;1;2;;;10.1;5;2.13;7.23;;;7.72
MCOPED;2013;770000156;770110054;1;1;30;2;1792;998;4130;7;7;5;5;3.5;3.5;1;;0;;32;4;5;;1;27;8;3;4;;1;38.32;11;6.27;8.3;;1.16;35.52
MCOPED;2013;770000164;770110062;1;1;16;1;1317;314;3826;5;5;1;1;5.48;5.48;0;0;1;1;7;4;21;;;8;;;;;;7;;1.5;12.71;0.47;;4.52
MCOPED;2013;770000172;770110070;1;1;1;0;1053;160;2652;;;1;;0.1;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2013;770000446;770700185;1;1;34;3;3250;899;9786;7;7;5;3;8.25;8.05;0;0;0;0;9;1;8;;;14;10;;2;;3;16.27;6;0.83;9.63;;1.47;18.05
MCOPED;2013;770019032;770170017;1;1;25;2;1646;806;6421;4;;3;;1.36;;0;0;0;0;18;2;8;;;7;2;;1;;;18.43;2;2;8.02;;;8.32
MCOPED;2013;780000287;780110011;1;1;36;5;2330;1005;6993;7;7;1;1;3.68;3.68;;;;;12;3;29;2;;6;7;3;10;;2;16.6;1;4.75;34.39;0.42;1.25;5.41
MCOPED;2013;780000311;780001236;1;1;39;4;2951;1057;6666;8;7;7;5;8.22;7.77;0;0;0;0;17;8;11;;2;12;4;2;6;;0;19.2;4;10.84;16.76;0;2.09;15.55
MCOPED;2013;780000329;780110052;1;1;13;3;983;359;2461;6;6;1;1;5.7;5.7;1;1;;;12;3;8;;;8;2;1;3;;1;12.38;1;3.9;9.66;;0.2;8.87
MCOPED;2013;780630026;750803900;1;0;1;8;46;1412;448;1;1;7;3;1.69;0.83;1;1;1;1;12;;5;;;2;1;;4;;;0.38;1;;1.08;;;0.95
MCOPED;2013;780800256;780110078;1;0;30;6;2652;1567;8832;;16;;15;;18.88;1;1;0;0;18;10;17;0;0;16;6;4;5;0;2;25.56;5;13.92;21.25;0;1.37;18.38
MCOPED;2013;790000087;790000012;1;1;29;5;1939;675;5444;7;7;6;6;8.26;8.26;1;1;0;0;14;6;15;1;2;8;5;3;9;;1;15.23;7;8.11;19.15;0.13;1.49;8.95
MCOPED;2013;800000143;800000028;1;0;19;1;1599;328;3398;5;5;4;4;6.27;6.27;0;0;1;1;11;4;2;0;1;8;4;1;4;0;0;10.03;6;4.8;5.19;0;0.33;12.3
MCOPED;2013;800000192;800000044;1;1;119;17;5489;2732;20932;45;24;7;2;16.46;11.15;1;1;0;0;19;5;20;;1;34;18;7;7;;;30.51;4;10.75;23.65;;1;35.84
MCOPED;2013;810000505;810000331;1;0;18;0;1246;509;2932;4;4;2;2;5.53;5.53;;;;;12;6;12;0;0;8;4;4;3;0;0;11.91;8;8.8;11.24;0;0;8.12
MCOPED;2013;810000521;810000380;1;0;12;0;1326;171;2688;5;5;2;2;6.03;6.03;0;0;1;1;3;5;8;5;;5;5;6;5;6;;5.24;;6.49;10.86;0.23;;2.01
MCOPED;2013;820000032;820000016;1;0;19;0;1492;562;3063;4;4;3;3;2.5;2.5;0;0;1;1;7;2;1;1;;14;;2;;;;4.96;1;3.44;2;0.36;;9.56
MCOPED;2013;830000287;830100525;1;0;12;2;1140;232;2399;2;2;2;2;3.15;3.15;0;0;1;1;1;2;3;;;8;6;5;2;;1;7.49;5;6.12;4.6;;0.25;9.87
MCOPED;2013;830000295;830100533;1;0;20;;1618;447;3797;3;3;6;6;5.38;5.38;0;0;1;1;1;6;7;;;4;1;10;1;;;1.73;4;14.43;7.63;;;9.42
MCOPED;2013;830000311;830100566;1;1;23;2;2522;332;6321;4;4;1;1;2.75;2.75;1;1;;;10;8;10;;;;2;2;3;;;11.6;;9.42;12.19;;;
MCOPED;2013;830000345;830100616;1;1;43;1;4287;1333;10285;;;6;6;0.6;0.6;;;;;;;;;;;1;1;;;;0.69;1;0.59;;;;0.82
MCOPED;2013;840001861;840006597;1;1;56;1;5119;1108;11460;7;4;6;3;5.73;3.55;0;;1;;17;21;22;1;1;18;7;11;9;;2;17.5;5;23.97;27.36;0.5;2.1;20.21
MCOPED;2013;850000142;850000019;1;1;27;3;2147;1044;4898;;;10;9;4.18;4.13;1;1;;;1;1;;;;1;13;12;25;1;;8.34;15;9.81;18.5;0.51;;15.13
MCOPED;2013;850000241;850000084;1;0;7;;743;0;1534;3;3;;;2.37;2.37;0;0;0;0;3;1;0;3;0;0;2;1;0;1;0;4.96;0;1.73;0;3.3;0;0
MCOPED;2013;850009630;850000035;1;0;10;0;809;43;1617;2;2;2;1;2.7;2.6;0;0;1;1;1;1;2;;;2;2;4;6;;1;2.85;3;4.4;6.49;;0.35;2.95
MCOPED;2013;860000223;860013077;1;1;39;10;3623;1517;12513;13;12;3;3;9.33;8.33;0;0;1;1;12;3;14;2;1;5;7;4;10;;;14.77;2;8.12;22.52;0.5;1;6.2
MCOPED;2013;860780568;860000140;1;0;4;;15;0;23;5;3;;;5;3;0;0;0;1;4;;5;;;;;;;;;4;;;5;;;
MCOPED;2013;870014859;870000015;1;1;104;12;4036;1841;12690;6;3;6;0;4.09;0.85;1;1;1;;52;48;31;6;2;59;13;18;9;;;55.17;19;55.12;32.02;5.17;0.46;56.62
MCOPED;2013;880000021;880007059;1;0;16;0;1137;375;2690;;;;;;;1;1;0;0;11;13;9;;;2;2;4;;;1;12.78;8;15.84;9;;0.42;6
MCOPED;2013;880000047;880780077;1;0;8;2;835;183;2305;3;3;0;0;2.31;2.31;;;1;1;5;9;5;0;0;1;1;1;1;0;0;5.8;1;9.75;5.75;0;0;1.9
MCOPED;2013;880000054;880007299;1;0;12;;627;348;1201;;;1;2;0.3;0.3;0;0;1;1;2;3;;;;;1;5;20;;;2.8;11;6.5;6.38;;;2.78
MCOPED;2013;880000062;880780093;1;1;14;3;1465;820;3610;;;7;7;0.68;0.68;0;0;1;1;;0;0;0;0;0;11;1;0;0;0;1.49;12;0.54;0;0;0;0.44
MCOPED;2013;890975527;890000037;1;1;18;2;1552;171;4517;7;7;;;7;7;1;1;1;1;4;10;10;;;12;1;5;1;;;4.86;3;13.93;10.86;;;13.74
MCOPED;2013;890975550;890970569;1;1;22;2;1447;419;4703;7;4;1;1;3.47;3.11;0;0;0;1;12;4;11;;;6;2;4;2;;1;13.03;2;7.45;12.07;;0.5;6.69
MCOPED;2013;900000167;900000365;1;1;24;0;1729;451;4955;6;6;7;7;8.58;8.58;;1;;0;11;3;14;;;2;4;1;1;;;11.5;1;2.6;10.89;;;2.65
MCOPED;2013;910000272;910110014;1;1;9;2;1053;191;2283;;;6;;2.49;;;;;;7;;4;;;1;2;;1;1;1;8;;;4.8;0.5;0.2;1
MCOPED;2013;910000280;910019447;1;1;16;2;1269;257;5441;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2013;910000298;910110055;1;1;4;4;1387;551;2929;2;1;1;1;3.82;1.9;1;1;0;0;8;1;8;;;3;5;1;3;;;11.37;3;1.74;10.25;;;5
MCOPED;2013;910000306;910110063;1;1;15;2;1339;551;3374;3;;4;;5.5;;1;1;0;0;14;1;6;;;6;4;4;2;;;15.4;4;4.74;8.23;;;9.53
MCOPED;2013;910020254;910002773;1;1;36;6;2657;1213;8755;1;0;32;0;10.13;0;;;;;34;4;9;0;1;7;7;7;17;0;4;39.8;12;10.4;24.9;0;3.1;14.8
MCOPED;2013;910300219;910003888;1;0;22;0;424;0;1649;7;2;;;7;2;1;0;1;1;;;;1;;1;;;;1;1;;;;;1.1;0.2;1
MCOPED;2013;920000585;920026374;1;1;18;0;1538;0;4040;8;8;6;6;5.96;5.96;1;1;0;0;11;3;6;0;;7;;;2;0;2;10.5;6;3.16;7.49;0;0.75;7.94
MCOPED;2013;920000643;920150034;1;1;19;0;1131;20;3860;4;4;6;6;6.99;6.99;1;;1;;3;27;;;;4;2;3;2;;;3.2;;25.24;1.37;;;4
MCOPED;2013;920000684;920150091;1;0;28;;930;3;8005;7;3;2;1;7.24;1.26;0;0;;;22;5;13;1;;19;3;1;3;;1;26.68;5;4.96;13.72;1;0.5;22.64
MCOPED;2013;920100013;750712184;1;1;37;3;1890;1299;6540;2;2;2;2;1.2;1.2;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2013;920100021;750712184;1;1;6;0;2200;973;6057;1;1;9;9;4.6;4.6;1;1;0;0;5;;;;;5;1;;;;;5.86;1;;;;;5.86
MCOPED;2013;920100047;750712184;1;1;9;5;2749;1917;9183;7;7;2;2;8;1;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2013;920100054;750712184;1;0;43;7;647;1394;7762;75;;70;;60.17;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2013;920300043;920001526;1;0;7;5;;;;;;;;;;;;;;5;;;;;6;;;;;;4.88;;;;;;5.72
MCOPED;2013;920300191;920000767;1;0;16;;;;;;;;;;;;;;;3;1;2;;;2;;1;2;;;2.76;1;1.91;2.26;;;2.71
MCOPED;2013;930000286;930021480;1;1;23;2;1719;4296;5557;9;8;6;2;8.07;6.04;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2013;930000302;930110036;1;1;17;3;1126;323;3081;6;36;3;3;4.12;4.12;1;1;0;0;6;0;7;0;0;8;5;0;1;0;0;11.07;0;0;8.2;0.78;0;8.37
MCOPED;2013;930000328;930110051;1;1;30;2;3656;708;10852;4;;1;;4.6;;;;;;15;10;22;;;17;2;;;;1;18.35;3;9.34;20.17;;0.5;20.06
MCOPED;2013;930000336;930110069;1;1;30;3;2172;2076;7212;20;;;;15.83;;;;;;10;5;;;;2;;;;;;10;;4.4;;;;1.5
MCOPED;2013;930100045;750712184;1;1;35;7;2304;1671;8844;3;3;8;8;10.5;10.5;1;1;1;1;33;4;5;0;;20;7;1;1;0;1;39.7;5;4.8;5.8;0;0.4;23.3
MCOPED;2013;940000573;940110018;1;1;49;5;4582;2229;13543;9;;25;;13;;;;;;18;5;3;;;15;1;;1;;1;16.53;11;5.74;3.9;0;1;18.83
MCOPED;2013;940000599;940110042;1;1;41;5;3406;663;9881;7;5;;;6;4;1;1;;;13;;18;;1;1;;;;;;13;;;18;;0.5;1
MCOPED;2013;940000649;940150014;1;1;41;3;2959;1710;8101;7;6;9;4;11.5;7.9;1;1;1;1;6;;10;;;;1;1;1;1;2;5.12;;0.85;9.4;0.4;0.71;
MCOPED;2013;940000664;940160013;1;;32;8;;;;12;12;7;7;14.53;14.53;;;;;46;3;3;;3;43;12;;;;;53.44;2;3.12;3.43;;2.43;40.97
MCOPED;2013;940100043;750712184;1;1;6;4;6783;4830;31128;1;;;;1;;1;0;0;0;8;1;6;;;1;;;;;;7.36;;1;5.45;;;1
MCOPED;2013;940300551;940000912;1;0;3;1;117;2;408;;;8;4;4;2;0;;0;0;;2;2;;;;;;;;;;;1;1;;;
MCOPED;2013;950000307;950110015;1;1;21;2;2030;427;4730;5;4;2;1;5.26;3.66;1;1;1;1;9;1;9;0;0;8;6;1;3;0;2;14.25;1;1.76;11.35;0;0.97;8.11
MCOPED;2013;950000315;950001370;1;0;18;1;1252;171;4448;6;5;3;3;4.53;4.43;0;0;1;1;11;5;8;1;5;1;5;;3;;;15.08;;4.03;10.53;0.5;5.36;1.3
MCOPED;2013;950000323;950013870;1;0;;;0;78;0;1;;0;;0.8;;0;;0;;;;;;;;;;;;;;;;;;;
MCOPED;2013;950000331;950110049;1;1;57;3;3965;1359;11348;5;5;4;3;6.3;0.1;1;1;0;0;41;9;30;0;1;15;9;5;4;0;1;47.29;1;8.37;33.02;0;1.48;15.69
MCOPED;2013;950000356;950013870;1;1;21;2;1944;341;5241;8;8;2;2;6.57;6.57;1;1;1;1;15;4;14;;1;12;6;1;3;;1;19.29;2;4.32;15.43;;1.3;13.24
MCOPED;2013;950000364;950110080;1;1;43;5;3809;698;9720;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2013;950630012;750721334;1;;4;1;248;3;1198;8;8;6;6;0.6;0.6;0;0;0;0;;;;;;;;;;;;;;;;;;
MCOPED;2013;970100392;970100178;1;0;29;4;971;309;3214;6;6;0;0;5.43;5.43;1;1;;;17;15;1;0;1;10;0;0;0;0;0;16.3;0;14.92;1;0;0.25;9.42
MCOPED;2013;970100400;970100186;1;0;8;2;504;73;1545;9;2;1;;9.8;2;0;0;1;1;29;1;16;;1;22;;;1;;;29;1;1;16.5;;1;22
MCOPED;2013;970100442;970100228;1;1;72;10;3406;1575;11072;15;11;4;4;17.18;14.03;;;;;47;26;38;;1;47;1;4;;;;45.8;;29.79;38.45;;1;45.68
MCOPED;2013;970211223;970211207;1;1;20;2;771;198;2407;8;;;;8;;0;0;0;0;14;3;;;;22;;;;;;14;;3;;;;21.99
MCOPED;2013;970211231;970211207;1;0;18;8;499;48;2878;;;;;;;0;0;0;0;1;;;;;3;;;;;;1;;;;;;3
MCOPED;2013;970211256;970211207;1;1;40;8;3430;1994;12644;11;3;;;7.06;1.7;0;0;1;1;22;4;;;;26;;;;;;21.71;;4;;;;26
MCOPED;2013;970300026;970302022;1;0;36;4;2376;544;9645;8;8;;;6.91;6.66;1;1;1;1;36;6;31;;1;18;2;0;0;;0;30.84;;4.43;24.04;;1;17.28
MCOPED;2013;970300083;970302121;1;0;21;2;803;28;4333;7;;;;6.73;;1;1;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2013;970300265;750721334;1;;11;1;617;33;2655;1;1;3;3;0.97;0.97;1;1;1;1;7;5;5;;;;1;;;;;3.27;;1.11;2.82;;;
MCOPED;2013;970400024;970408589;1;1;52;15;2763;7026;15033;17;11;2;;18.36;11;1;1;0;0;21;7;31;;1;3;2;;3;;;22.6;2;7;33.6;;1;5
MCOPED;2013;970400057;970408589;1;1;36;4;3793;1837;12717;9;9;11;11;14.76;14.76;1;1;0;0;22;7;21;;1;4;6;3;5;1;;27.2;1;9.8;25.8;0.5;1;4.75
MCOPED;2013;970400065;970421038;1;1;21;;2161;;6518;9;9;3;3;6.52;6.52;1;1;0;0;15;13;0;0;1;23;2;4;0;0;0;16.25;2;11.26;0;0;0.5;22.32
MCOPED;2013;980500011;980500003;1;0;18;2;1117;233;8517;11;11;1;1;11.07;11.07;1;1;0;0;22;2;12;;;19;;;;;;21.31;;1.25;10.33;;;17.26
