BOR;AN;FI;FI_EJ;CAEH;CAEF;CUIH;CUIF;CAPH;CAPF;CAVH;CAVF;CAUH;CAUF
Q25;2013;740011481;740781133;0;0;0;0;0;0;0;1;0;0
Q25;2013;740014345;740000617;;;;;1;;;;;
Q25;2013;740014683;740780168;;3;;;;;;;;
Q25;2013;740780135;750050924;;;;;1;1;;;;
Q25;2013;740780143;750005068;0;0;0;0;0;3;0;0;0;0
Q25;2013;740780184;750052334;;;;;;1;;;;
Q25;2013;740780192;740780168;1;2;;;;;1;;;
Q25;2013;740780416;740000112;;;;;;3;;;;
Q25;2013;740780424;740000120;;;;;3;0;;;;
Q25;2013;740780952;740000179;;;;;;2;;;;
Q25;2013;740780986;740000195;;;;2;;1;;;;
Q25;2013;740781141;740790258;;;;;1;2;1;1;;
Q25;2013;740788070;740790381;;;;;;1;;;;
Q25;2013;750000481;750110025;;;;;1;;;;;
Q25;2013;750000507;750040628;;;;;;1;;;;
Q25;2013;750000523;750150120;1;38;;;;4;;1;;
Q25;2013;750000549;750150229;;;;;1;3;;;;
Q25;2013;750006348;910140011;;;;;;1;;;;
Q25;2013;750023749;750034308;;;;;1;1;;;;
Q25;2013;750038739;750043994;;;;;;2;;;;
Q25;2013;750039448;750720914;3;3;;;;;1;;;
Q25;2013;750051872;;;;;;1;2;;;;
Q25;2013;750052037;;1;11;;;;;;;;
Q25;2013;750100018;750712184;0;0;0;0;0;2;0;0;0;0
Q25;2013;750100042;750712184;0;0;0;0;2;2;1;3;0;0
Q25;2013;750100075;750712184;0;0;0;0;4;4;0;0;0;0
Q25;2013;750100083;750712184;0;0;0;0;0;1;1;0;0;0
Q25;2013;750100091;750712184;0;0;0;0;2;5;0;3;0;0
Q25;2013;750100109;750712184;0;0;0;0;0;1;1;1;0;0
Q25;2013;750100125;750712184;0;0;0;0;6;9;15;3;0;0
Q25;2013;750100166;750712184;0;0;0;0;2;4;0;0;0;0
Q25;2013;750100208;750712184;0;0;0;0;3;3;2;3;0;0
Q25;2013;750100216;750712184;0;0;0;0;0;0;1;0;0;0
Q25;2013;750100232;750712184;0;0;0;0;0;3;1;0;0;0
Q25;2013;750100273;750712184;0;0;0;0;1;0;0;0;0;0
Q25;2013;750100299;750712184;0;0;0;0;0;2;0;0;0;0
Q25;2013;750150104;750720476;;;;;5;4;;;;
Q25;2013;750150146;750720609;;;;;1;;;;;
Q25;2013;750150237;750006728;;7;;;;;;1;;
Q25;2013;750150260;750006728;3;1;;;;;;;;
Q25;2013;750150286;750015968;;;;;;2;;;;
Q25;2013;750150344;750720468;;;;;;1;;;;
Q25;2013;750150377;750721334;;;;;;2;;;;
Q25;2013;750160012;750813321;;;;;;6;;;;
Q25;2013;750170102;750721391;1;;;;;;;;;
Q25;2013;750300014;750000564;0;0;0;0;0;1;0;0;0;0
Q25;2013;750300071;750000598;;;;;2;9;;;;
Q25;2013;750300089;750000606;;;;;1;;;;;
Q25;2013;750300121;750052037;;;;;2;1;;;;
Q25;2013;750300139;750000655;;;;;1;;;;;
Q25;2013;750300154;750000671;;;;;3;5;;;;
Q25;2013;750300220;750054827;;;;;;1;;;;
Q25;2013;750300360;750026569;;;;;;3;;;;
Q25;2013;750300410;750000770;;;;;;1;;;;
Q25;2013;750300592;750000820;;;;;1;5;;;;
Q25;2013;750300667;750000838;;;;;1;1;;;;
Q25;2013;750300741;750000861;;;;;1;6;;;;
Q25;2013;750300766;920028180;1;1;;;;;;;;
Q25;2013;750300774;750000895;;;;;;3;;;;
Q25;2013;750300840;750000903;;;;;;1;;;;
Q25;2013;750301137;750001034;;;;;;2;;;;
Q25;2013;750301152;750047136;;;;;;1;;;;
Q25;2013;750310013;750043994;;;;;;1;;;;
Q25;2013;750710782;750001190;;1;;;;;;;;
Q25;2013;750790164;750008310;0;0;0;0;0;2;0;0;0;0
Q25;2013;750803447;750712184;0;0;0;0;0;4;3;3;0;0
Q25;2013;750803454;750712184;0;0;0;0;0;6;7;7;0;0
Q25;2013;750806226;750712184;0;0;0;0;1;0;3;0;0;0
Q25;2013;750826141;750825960;;3;;;;1;1;1;;
Q25;2013;750827214;750815607;;;;;;1;;;;
Q25;2013;760000018;760780023;10;7;0;0;0;0;2;3;0;0
Q25;2013;760000026;760780031;;5;;;;;1;;;
Q25;2013;760000034;760780049;;12;;;;;;1;;
Q25;2013;760000042;760780056;9;43;;3;;;;;;
Q25;2013;760000059;760780064;1;5;;;;;;2;;
Q25;2013;760000133;760780213;1;1;;;;;;5;;
Q25;2013;760000158;760780239;28;30;;;1;7;;;;
Q25;2013;760000166;760780247;7;45;1;1;;;;;;
Q25;2013;760000174;760780254;1;7;;;0;1;0;1;;
Q25;2013;760000182;760780262;3;5;;;;;;;;
Q25;2013;760000190;760780270;3;18;;;;;2;15;;
Q25;2013;760000356;760780726;;2;;;1;;;;;
Q25;2013;760000364;760780734;5;19;0;0;0;0;1;0;0;0
Q25;2013;760000372;760780742;6;29;;;;;;1;;
Q25;2013;760000380;760780759;2;15;;;;;1;;;
Q25;2013;760000398;760780742;;4;;;;;;;;
Q25;2013;760000620;760782227;3;2;;;;;1;1;;
Q25;2013;760000802;760782425;2;;;;;;;;;
Q25;2013;760004143;;;1;;;;;;;;
Q25;2013;760021329;760000448;;;;;;1;1;1;;
Q25;2013;760025312;760000315;;;;;2;2;;;;
Q25;2013;760780510;760000257;;;;;;5;;;;
Q25;2013;760780676;750808529;;1;;;;;;;;
Q25;2013;760780692;760025734;1;5;0;0;1;0;0;0;0;0
Q25;2013;760780791;760000414;0;0;0;0;1;2;0;0;0;0
Q25;2013;760780825;760000430;;;;;;1;;1;;
Q25;2013;760781054;930019484;;1;;;;;1;;;
Q25;2013;760781070;760780726;1;;;;;;;;;
Q25;2013;760783035;750721334;1;3;;;;;;1;;
Q25;2013;760800938;760780023;1;0;0;0;0;0;0;0;0;0
Q25;2013;760805770;760780726;3;5;;;;;;;;
Q25;2013;760806950;760780734;0;4;0;0;0;0;0;0;0;0
Q25;2013;770000149;770110021;4;0;;;;;;;;
Q25;2013;770000156;770110054;1;;;;;;;;;
Q25;2013;770000164;770110062;3;24;;;;;;;;
Q25;2013;770000172;770110070;2;5;;;;1;2;5;;
Q25;2013;770000180;770130011;;;;;;;;2;;
Q25;2013;770000214;770130052;1;;;;;1;;2;;
Q25;2013;770000420;770700029;2;3;;;;4;;;;
Q25;2013;770016467;750043994;;;;;;1;;;;
Q25;2013;770019032;770170017;;1;;;4;;;;;
Q25;2013;770150027;750720575;3;4;;;;1;2;;;
Q25;2013;770150043;750808529;;;;;;3;;;;
Q25;2013;770300010;770004299;;;;;1;;;;;
Q25;2013;770300135;770000289;;;;;1;0;;;;
Q25;2013;770420024;750042590;;;;;;;;2;;
Q25;2013;770630028;750042590;;;;;;;1;;;
Q25;2013;770700011;750042590;;;;;;;1;;;
Q25;2013;770701225;750721334;;1;;;1;3;;;;
Q25;2013;770790707;770000719;;;;;;2;;;;
Q25;2013;770813814;770130037;;;;;;1;1;1;;
Q25;2013;780000287;780110011;6;19;;;3;;8;9;;
Q25;2013;780000295;780002697;;8;;;;;2;3;;
Q25;2013;780000303;780110037;3;2;;;1;;;;;
Q25;2013;780000311;780001236;;;;;;;6;6;;
Q25;2013;780000329;780110052;5;2;;;;;2;2;;
Q25;2013;780000337;780001236;;;;;;;5;9;;
Q25;2013;780000378;780130027;;5;;;;;;;;
Q25;2013;780001657;780530010;;;;;;1;;;;
Q25;2013;780008298;750043994;;;;;;1;;;;
Q25;2013;780018727;780018719;;;;;;1;;;;
Q25;2013;780140018;750005068;1;2;;;3;7;2;1;;
Q25;2013;780140075;750804114;3;9;;;;;;;;
Q25;2013;780150017;750005068;1;;;;;2;2;;;
Q25;2013;780150033;780020715;;;;;1;;;;;
Q25;2013;780170056;780825097;;;;;;1;;;;
Q25;2013;780300075;780000485;;;;;;1;1;;;
Q25;2013;780300083;780000493;0;0;0;0;0;2;0;0;0;0
Q25;2013;780300109;920000395;;;;;;1;;;;
Q25;2013;780300208;780000576;;;;;;1;;;;
Q25;2013;780300406;780018032;;;;;;1;;;;
Q25;2013;780300414;780000675;;;;;2;5;;;;
Q25;2013;780300422;780002259;;;;1;1;4;;;;
Q25;2013;780700050;780826210;;;;;;1;1;;;
Q25;2013;780800256;780110078;;3;;;;;;2;;
Q25;2013;790000087;790000012;8;50;;;;;2;10;;
Q25;2013;790000095;790006654;2;17;;;;;;;;
Q25;2013;790000103;790006654;1;17;;;;;;;;
Q25;2013;790000111;790000046;1;5;;;;;;;;
Q25;2013;790000137;790000061;;7;;;;;;;;
Q25;2013;790000145;790000079;;8;;;;;;;;
Q25;2013;790000269;870015336;;1;;;;;;;;
Q25;2013;790000681;790002497;2;7;;;1;4;;;;
Q25;2013;790003537;790006654;;10;;;;;;;;
Q25;2013;790008064;790002497;;5;;;;;;;;
Q25;2013;790009948;790001242;;;;;1;2;;;;
Q25;2013;790012355;790000012;;3;;;;;;;;
Q25;2013;800000143;800000028;4;11;0;0;0;0;3;1;0;0
Q25;2013;800000184;800000036;1;3;;;;;;;;
Q25;2013;800000192;800000044;12;71;;;1;;;;;
Q25;2013;800000200;800000051;3;31;;;;;2;0;;
Q25;2013;800000226;800000069;2;15;;;;;;2;;
Q25;2013;800000275;800000077;1;3;;;;;;5;;
Q25;2013;800000390;800000085;4;21;;;;;;;;
Q25;2013;800000432;800000093;9;38;;;;;2;2;;
Q25;2013;800000457;800000119;6;36;0;0;0;0;2;3;0;0
Q25;2013;800000507;800000135;5;14;;;;;2;4;;
Q25;2013;800002503;800001141;;;;;;;;4;;
Q25;2013;800004152;800000093;9;38;;;;;2;2;;
Q25;2013;800009417;800000085;0;1;;;;;;;;
Q25;2013;800015448;800000093;9;38;;;;;2;2;;
Q25;2013;800016768;800003071;;1;;;;;;;;
Q25;2013;800016776;800000085;;1;;;;;;;;
Q25;2013;810000158;810100099;1;1;;;;;;;;
Q25;2013;810000224;810000471;;;;;;2;;;;
Q25;2013;810000448;810099945;;4;;;;;;;;
Q25;2013;810000505;810000331;0;0;0;0;0;1;0;0;0;0
Q25;2013;810000521;810000380;1;2;;;;;;;;
Q25;2013;810000539;810000398;1;6;;;;;;;;
Q25;2013;810004200;920000395;;;;;1;;;;;
Q25;2013;810100008;;;;;;;2;1;1;;
Q25;2013;810101170;810101162;;;;;;3;;;;
Q25;2013;820000032;820000016;10;35;;;;;;;;
Q25;2013;820000057;820000131;;;;;3;1;;;;
Q25;2013;820000198;820004950;0;3;0;0;0;0;0;0;0;0
Q25;2013;820000420;820000206;1;3;;;;;1;2;;
Q25;2013;820000438;820000214;1;;;;;;;;;
Q25;2013;820000461;820000248;1;7;;;;;;;;
Q25;2013;820000883;820004950;6;5;;;0;1;3;5;;
Q25;2013;820004067;820000016;;1;;;;;;;;
Q25;2013;830000279;830100517;;;;;;1;;;;
Q25;2013;830000287;830100525;;1;;;;2;;;;
Q25;2013;830000295;830100533;6;6;0;0;0;1;0;0;0;0
Q25;2013;830000303;830100541;;;;;;;2;;;
Q25;2013;830000311;830100566;2;5;;;;1;;6;;
Q25;2013;830000345;830100616;13;89;;;1;;1;;;
Q25;2013;830000600;830101200;;2;;;;;11;12;;
Q25;2013;830006128;830004479;;;;;;2;;;;
Q25;2013;830100012;750712184;0;0;0;0;2;1;0;0;0;0
Q25;2013;830100103;830000022;;;;;5;2;;;;
Q25;2013;830100392;830000154;;;;;;2;;;;
Q25;2013;830100434;830000196;;;;;2;4;;;;
Q25;2013;830100574;750821092;;;;;;3;;;;
Q25;2013;830100608;830100616;4;14;;;;;;;;
Q25;2013;830100681;750005068;;;;;;1;2;1;;
Q25;2013;830100764;830000436;;;;;;1;;;;
Q25;2013;830101010;830000568;;1;;;;;;;;
Q25;2013;830200507;830013678;;;;;;;;2;;
Q25;2013;830200515;830001012;;;;;;3;;;;
Q25;2013;830202743;830100616;5;9;;;;;;;;
Q25;2013;830212759;750721235;;1;;;;;1;;;
Q25;2013;830213880;830100566;1;;;;;;1;1;;
Q25;2013;830213989;830100525;;1;;;;2;;;;
Q25;2013;840000350;840000657;0;1;0;0;0;2;0;0;0;0
Q25;2013;840000376;840000038;0;11;0;0;0;0;0;0;0;0
Q25;2013;840000392;840000046;;14;;;;1;1;2;;
Q25;2013;840000400;840000673;0;0;0;0;1;2;0;0;0;0
Q25;2013;840000434;840000079;;1;;;;;;;;
Q25;2013;840000483;840000087;6;11;;;;;;4;;
Q25;2013;840000491;130041916;0;0;0;0;0;0;4;1;0;0
Q25;2013;840000517;840000103;;1;;;;;;2;;
Q25;2013;840000525;840000111;;20;;;;;;1;;
Q25;2013;840000533;840000129;3;5;;;;;4;;;
Q25;2013;840000541;840000137;1;;;;2;2;3;9;;
Q25;2013;840001861;840006597;27;109;;;;;7;14;;
Q25;2013;840013312;840003685;0;0;0;0;0;1;0;0;0;0
Q25;2013;840017172;840017164;;;;;;1;;;;
Q25;2013;850000134;850013269;;;;;;1;;;;
Q25;2013;850000142;850000019;;;;;1;1;;;;
Q25;2013;850000175;850009010;1;4;;;;;;;;
Q25;2013;850000191;850000043;;2;;;;;;;;
Q25;2013;850000209;850000019;;;;;;1;;2;;
Q25;2013;850000233;850009010;;2;;;;;;;;
Q25;2013;850000258;850000092;;5;;;;;;;;
Q25;2013;850000399;750005068;;2;;;;;;;;
Q25;2013;850002130;850007048;;;;;;;;;;1
Q25;2013;850009630;850000035;1;14;;;;;;;;
Q25;2013;860000017;860780048;7;50;;;1;;;;;
Q25;2013;860000025;860780063;9;19;;;1;;2;3;;
Q25;2013;860000033;860780071;;14;;;;;;5;;
Q25;2013;860000058;860780097;1;21;;;;;;;;
Q25;2013;860000223;860013077;20;79;;;4;5;11;8;;
Q25;2013;860009208;860009158;;;;;;1;;;;
Q25;2013;860011014;860013077;2;10;;;;;1;1;;
Q25;2013;860780436;870015336;;1;;;;;;;;
Q25;2013;860793405;860793397;1;;;;;;;;;
Q25;2013;870000064;870000015;;1;;;3;;3;9;;
Q25;2013;870000098;870000023;4;9;;;;;1;3;;
Q25;2013;870000171;870015336;2;1;;;;;3;6;;
Q25;2013;870000270;870000031;7;31;;;;;;4;;
Q25;2013;870000288;870017415;;;;;2;1;;;;
Q25;2013;870000403;870014503;1;2;;;;;;1;;
Q25;2013;870000411;870017415;;;;;;1;;;;
Q25;2013;870000551;870014503;2;1;;;;;;;;
Q25;2013;870000601;870014248;6;6;;;;7;5;6;;
Q25;2013;870001567;870014503;2;1;;;;;;;;
Q25;2013;870002060;870017415;;;;;;5;;;;
Q25;2013;870003514;870000015;1;6;;;;;;2;;
Q25;2013;870005931;870000023;;1;;;;;;1;;
Q25;2013;870006137;870002466;;1;;;1;2;3;15;;
Q25;2013;870008042;870000015;1;28;;;;1;1;3;;
Q25;2013;870014859;870000015;;;;;;;;3;;
Q25;2013;880000021;880007059;0;0;0;0;3;0;0;0;0;0
Q25;2013;880000039;880780069;1;1;;;;;;;;
Q25;2013;880000047;880780077;4;3;0;0;1;1;0;3;0;0
Q25;2013;880000054;880007299;;;;;1;1;;1;;
Q25;2013;880000062;880780093;0;0;0;0;0;0;1;1;0;0
Q25;2013;880000070;880007299;1;;;;;;;1;;
Q25;2013;880000088;880780119;5;10;;;1;;5;3;;
Q25;2013;880000153;880780309;;3;;;;;;;;
Q25;2013;880000179;880780325;;1;;;;;;;;
Q25;2013;880000187;880780333;1;1;;;;;;3;;
Q25;2013;880000195;880780341;;2;;;;;;;;
Q25;2013;880000211;880780366;;3;;;;;;1;;
Q25;2013;880000336;880007059;0;0;0;0;2;0;0;0;0;0
Q25;2013;880780465;540019726;1;;;;;;;;;
Q25;2013;880780507;880000237;0;0;0;0;0;1;0;0;0;0
Q25;2013;880786645;880780077;0;1;0;0;0;0;0;0;0;0
Q25;2013;880788591;880780150;2;1;;;;1;;;;
Q25;2013;890000169;890000151;;;;;;1;;;;
Q25;2013;890000300;890000193;;;;;;;;1;;
Q25;2013;890000326;890008105;3;3;;;;;;;;
Q25;2013;890971583;890000417;;;;;;;;2;;
Q25;2013;890975519;890000052;;2;;;1;2;;;;
Q25;2013;890975527;890000037;;2;;;;;5;4;;
Q25;2013;890975535;890000409;1;1;;;;1;1;;;
Q25;2013;890975543;890000417;;;;;;1;1;0;;
Q25;2013;890975550;890970569;1;4;;;;;1;5;;
Q25;2013;890975568;890000433;;5;;;1;;;;;
Q25;2013;900000167;900000365;;5;;;;;3;6;;
Q25;2013;900000647;900004698;2;25;;;;;;7;;
Q25;2013;900002429;700004096;;2;;;;;;;;
Q25;2013;910000272;910110014;2;7;;;;;;;;
Q25;2013;910000280;910019447;2;;;;;;3;3;;
Q25;2013;910000298;910110055;;1;;;;;;;;
Q25;2013;910000322;910140011;;;;;;2;;;;
Q25;2013;910001973;910019447;2;14;;;;;1;;;
Q25;2013;910015965;750043994;;;;;;1;;;;
Q25;2013;910019298;940110042;;1;;;;;;;;
Q25;2013;910100015;750712184;0;0;0;0;0;1;0;0;0;0
Q25;2013;910100023;750712184;0;0;0;0;2;1;0;0;0;0
Q25;2013;910140037;750720914;1;;;;;;1;;;
Q25;2013;910150077;750720575;;;;;;;1;;;
Q25;2013;910300029;910000355;;;;;;1;;;;
Q25;2013;910300219;910003888;;;;;3;8;;;;
Q25;2013;910300326;910000553;;;;;;1;;;;
Q25;2013;910300359;910000587;;;;;1;;;1;;
Q25;2013;910310010;750052326;;;;;;1;;;;
Q25;2013;910803543;910017615;0;0;0;0;3;4;1;0;0;0
Q25;2013;910811322;830013678;;;;;;3;3;;;
Q25;2013;920000460;750813321;;;;;;3;;;;
Q25;2013;920000577;920110020;6;3;;;;;;;5;5
Q25;2013;920000601;920110053;1;;;;;;;;;
Q25;2013;920000619;920009909;0;0;0;0;0;1;0;0;0;0
Q25;2013;920000627;920009909;0;0;0;0;0;1;0;0;0;0
Q25;2013;920000643;920150034;;;;;1;;;;;
Q25;2013;920000650;920150059;;;;;1;12;3;4;;
Q25;2013;920000684;920150091;1;;;;2;6;1;1;;
Q25;2013;920001096;;;;;;;2;;;;
Q25;2013;920002177;920804465;;;;;;;4;3;;
Q25;2013;920005238;750043994;;;;;;3;;;;
Q25;2013;920100013;750712184;0;0;0;0;0;2;1;0;0;0
Q25;2013;920100021;750712184;0;0;0;0;2;3;0;0;0;0
Q25;2013;920100039;750712184;0;0;0;0;1;1;0;0;0;0
Q25;2013;920100047;750712184;0;0;0;0;0;2;0;0;0;0
Q25;2013;920100054;750712184;0;0;0;0;2;1;0;0;0;0
Q25;2013;920100062;750712184;0;0;0;0;0;0;0;1;0;0
Q25;2013;920120011;750821092;;;;;;1;;;;
Q25;2013;920140027;750720575;;;;;1;;;;;
Q25;2013;920150018;750720492;1;0;0;0;2;1;0;0;0;0
Q25;2013;920150075;780020715;0;0;0;0;1;1;0;0;0;0
Q25;2013;920300043;920001526;;;;;2;7;;;;
Q25;2013;920300191;920000767;;;;;;2;;;;
Q25;2013;920300464;910014919;;1;;;1;;;;;
Q25;2013;920300712;920810736;;;;;;4;;;;
Q25;2013;920300753;920810736;;;;;2;30;;;;
Q25;2013;920300787;920000981;;;;;1;12;;;;
Q25;2013;920300845;780020715;;;;;;1;;;;
Q25;2013;920300985;920810330;;1;;;;;;;;
Q25;2013;920310034;920001088;;;;;;3;;;;
Q25;2013;920310059;920001104;;;;;;1;;;;
Q25;2013;930000286;930021480;;;;;2;4;;;;
Q25;2013;930000328;930110051;3;;;;1;1;5;7;;
Q25;2013;930000336;930110069;2;;;;;;;;;
Q25;2013;930006648;750721235;;;;;1;;;;;
Q25;2013;930017512;930019948;;;;;;1;;;;
Q25;2013;930019203;750043994;;;;;;1;;;;
Q25;2013;930020920;750043408;;;;;1;1;;;;
Q25;2013;930021001;930021373;1;1;;;;1;;;;
Q25;2013;930100011;750712184;0;0;0;0;0;1;0;0;0;0
Q25;2013;930100037;750712184;0;0;0;0;2;1;1;0;0;0
Q25;2013;930100045;750712184;0;0;0;0;0;0;9;4;0;0
Q25;2013;930300025;930000393;;;;;;3;;;;
Q25;2013;930300066;930000401;;;;;;1;;;;
Q25;2013;930300116;930000427;;;;;;1;;;;
Q25;2013;930300140;930000450;;;;;;3;;;;
Q25;2013;930300264;930000492;;;;;;2;;;;
Q25;2013;930300280;310021274;;;;;;1;;;;
Q25;2013;930300553;930000633;;;;;1;3;;;;
Q25;2013;930300595;930000658;;;;;3;3;;;;
Q25;2013;930300629;930000666;;;;;;1;;;;
Q25;2013;930300645;930000682;;;;;1;2;;;;
Q25;2013;930500012;750720534;;;;;;1;;;;
Q25;2013;930706239;930110051;;1;;;;;3;1;;
Q25;2013;930815501;750034308;;1;;;;;;;;
Q25;2013;940000599;940110042;5;35;;;;3;5;19;;
Q25;2013;940000607;940140015;;1;;;;;1;1;;
Q25;2013;940000615;940140023;1;2;;;2;1;1;1;;
Q25;2013;940000649;940150014;;1;;;;;;;;
Q25;2013;940000664;940160013;;;;;3;21;;;;
Q25;2013;940006679;940017338;;;;;;2;;;;
Q25;2013;940016868;940016819;2;2;0;0;0;0;1;0;0;0
Q25;2013;940100027;750712184;0;0;0;0;9;9;1;0;0;0
Q25;2013;940100035;750712184;0;0;0;0;1;8;0;2;0;0
Q25;2013;940100043;750712184;0;0;0;0;6;12;0;0;0;0
Q25;2013;940100050;750712184;0;0;0;0;1;3;0;0;0;0
Q25;2013;940100068;750712184;0;0;0;0;0;1;0;0;0;0
Q25;2013;940120017;750821092;;;;;;2;;;;
Q25;2013;940300270;940000771;;;;;1;1;;;;
Q25;2013;940300379;940000805;;;;;;1;;;;
Q25;2013;940300445;940000854;;;;;;2;;;;
Q25;2013;940300551;940000912;;;;;;1;;;;
Q25;2013;940300577;310021266;;;;;;3;;;;
Q25;2013;940310014;940000979;1;;;;2;;;;;
Q25;2013;940700032;940001027;;;;;;1;;;;
Q25;2013;940812506;940110042;;3;;;;;;;;
Q25;2013;940813033;940001894;;;;;;4;;;;
Q25;2013;940813090;750043994;;;;;;1;;;;
Q25;2013;950000307;950110015;3;3;0;0;1;0;0;0;0;0
Q25;2013;950000315;950001370;7;12;;;;;;1;;
Q25;2013;950000323;950013870;;5;;;;;4;6;;
Q25;2013;950000331;950110049;;3;;;1;1;;3;;
Q25;2013;950000356;950013870;;;;;;;1;;;
Q25;2013;950000364;950110080;4;14;;;;2;;;;
Q25;2013;950000398;950140012;1;3;;;;;;;;
Q25;2013;950000406;950150037;;;;;;1;;;;
Q25;2013;950000695;950500033;1;;;;;1;;1;;
Q25;2013;950002568;750043994;;;;;;1;;;;
Q25;2013;950031237;950809640;;;;;;1;;;;
Q25;2013;950150011;940016249;;12;;;;;;;;
Q25;2013;950300152;950000489;;;;;1;2;;;;
Q25;2013;950300277;950000547;;;;;1;16;;;;
Q25;2013;950300301;950000562;;;;;1;4;;;;
Q25;2013;950420042;750043994;;;;;;1;;;;
Q25;2013;950630012;750721334;;2;;;1;4;;3;;
Q25;2013;950807982;950001636;;;;;2;2;;;;
Q25;2013;970100129;970100350;;1;;;;;;;;
Q25;2013;970100251;970100467;;;;;;1;;;;
Q25;2013;970102596;970100491;;;;;;4;;;;
Q25;2013;970104477;970104451;;;;;1;;;;;
Q25;2013;970107249;970100731;;;;;;1;;;;
Q25;2013;970108957;970108932;;;;;;1;;;;
Q25;2013;970111217;970111209;;;;;;1;;;;
Q25;2013;970200044;970202164;;;;;1;;;;;
Q25;2013;970200077;970202198;;2;;0;;0;;0;;0
Q25;2013;970203303;750000218;;;;;;2;;;;
Q25;2013;970203493;970200457;1;;0;;;1;;;;
Q25;2013;970209441;970209433;0;0;0;0;0;1;0;0;0;0
Q25;2013;970300026;970302022;;;;;;;12;18;;
Q25;2013;970300083;970302121;;;;;4;0;;;;
Q25;2013;970400016;970411005;7;4;;;;;;2;;
Q25;2013;970400024;970408589;26;13;0;0;2;4;14;4;0;0
Q25;2013;970400057;970408589;6;7;0;0;0;0;3;1;0;0
Q25;2013;970400065;970421038;0;1;0;0;0;2;7;4;0;0
Q25;2013;970423000;970430906;;3;;;1;1;;1;;
Q25;2013;980500011;980500003;;;;;;;6;7;;5
