BOR;AN;FI;FI_EJ;AUTSU;AUTGEN;AUTSAIS;AUTPED;SPEC;CARD;CHIR;NEURO;OPHTA;AUTRE;EMG;RPU;TRSPU
URGENCES;2013;010000024;010780054;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;010000032;010780062;1;1;0;0;0;;;;;;0;0;
URGENCES;2013;010005239;010008407;1;1;0;0;;;;;;;0;1;1
URGENCES;2013;010780195;010000156;1;1;0;0;0;;;;;;1;0;0
URGENCES;2013;010780203;010006450;1;1;0;0;;1;1;1;1;1;0;1;1
URGENCES;2013;020000162;020000063;1;1;0;1;0;;;;;;1;1;0
URGENCES;2013;020000394;020000253;1;1;0;1;0;;;;;;0;1;1
URGENCES;2013;020000519;020000261;1;1;0;1;0;;;;;;0;0;
URGENCES;2013;020000535;020000287;1;1;0;0;1;1;1;;;1;0;0;
URGENCES;2013;020001061;020004404;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;020001087;020004495;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;020010047;020001632;1;1;0;0;0;;;;;;0;;
URGENCES;2013;030000061;030780092;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;030000079;030780100;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;030000087;030780118;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;030781116;030000426;1;1;0;0;1;1;1;;1;1;0;1;1
URGENCES;2013;040000093;040780215;1;1;0;0;1;1;1;1;1;1;0;1;1
URGENCES;2013;040000135;050002948;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;040000911;040788879;1;1;0;0;;;;;;;;;
URGENCES;2013;050000231;050000116;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;050000256;050000124;1;1;0;0;0;;;;;;1;0;
URGENCES;2013;050000348;050002948;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;060000478;060780897;1;1;0;1;0;;;;;;;;
URGENCES;2013;060000510;060780954;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;060000544;060780988;1;1;0;1;1;1;1;;1;;0;0;
URGENCES;2013;060001450;060785011;1;1;0;0;1;;1;;;1;1;1;1
URGENCES;2013;060002102;060791761;1;1;0;0;0;;;;;;1;0;0
URGENCES;2013;060019288;060017019;1;0;0;1;0;;;;;;0;1;1
URGENCES;2013;060780491;060790797;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;060780517;060000239;1;1;0;0;1;;1;;;;0;1;1
URGENCES;2013;060780715;060000361;1;1;0;0;;;;;;;0;1;1
URGENCES;2013;060780723;060004959;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;060780947;060800174;1;0;0;1;;;;;;;0;1;1
URGENCES;2013;070000013;070002878;1;1;0;0;1;;1;;;;1;1;1
URGENCES;2013;070000179;070780358;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;070000609;070005566;1;1;0;0;1;1;1;1;1;1;1;1;1
URGENCES;2013;070780424;070000245;1;1;0;0;0;;;;;;0;1;0
URGENCES;2013;080000110;080000037;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;080000219;080001969;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;080000276;080001969;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;080000425;080000615;1;1;0;1;0;;;;;;1;1;1
URGENCES;2013;090000175;090781774;1;1;0;0;0;1;1;1;1;1;1;1;1
URGENCES;2013;090000183;090781816;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;090001629;090780107;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;100000090;100000017;1;1;0;0;1;1;1;1;1;1;0;1;1
URGENCES;2013;100000199;100006279;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;110000023;110780061;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;110000049;110780087;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;110000056;110780137;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;110780228;110000114;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;110780483;110000155;1;1;0;0;;;;;;;;;
URGENCES;2013;120000039;120780044;1;1;0;0;0;;;;;;;;
URGENCES;2013;120000054;120780069;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;120000070;120780085;1;1;0;0;;;;;;;;;
URGENCES;2013;120004569;120004528;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;120004668;120004619;1;1;0;0;;;;;;;0;;
URGENCES;2013;130000409;130041916;1;1;0;1;1;1;;1;;;1;0;0
URGENCES;2013;130000565;130781446;1;1;0;1;0;;;;;;1;0;0
URGENCES;2013;130001225;130782634;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;130002215;130785512;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;130002827;130789274;1;1;0;0;;;;;;;;1;1
URGENCES;2013;130002835;130789316;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;130043664;130002157;1;1;0;0;;;;;;;;0;0
URGENCES;2013;130780521;130786049;1;1;0;1;;;;;;;;;
URGENCES;2013;130781479;130000599;1;1;0;0;;1;1;;;1;0;1;1
URGENCES;2013;130782071;130002454;1;1;0;0;0;;;;;;0;0;
URGENCES;2013;130782147;130000979;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;130783236;130786049;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;130783293;130786049;1;1;0;0;1;1;;1;;;1;1;1
URGENCES;2013;130784713;130038847;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;130785355;130002157;1;1;0;0;;;;;;;0;0;0
URGENCES;2013;130785363;130042930;1;1;0;0;;;;;;;0;0;0
URGENCES;2013;130785652;130014228;1;1;0;1;0;;;;;;0;1;1
URGENCES;2013;130786361;130002447;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;130786742;750821092;1;1;0;0;0;;;;;;0;0;
URGENCES;2013;130804297;130786049;1;0;0;1;0;;;;;;0;0;0
URGENCES;2013;140000027;140000035;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;140000076;140000084;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;140000209;140000100;1;1;0;1;0;;;;;;0;1;0
URGENCES;2013;140000233;140000118;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;140000373;140000159;1;1;0;0;;;;;;;0;1;0
URGENCES;2013;140002452;140025800;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;140016759;140003146;1;1;0;0;1;;1;;1;1;0;1;
URGENCES;2013;140017237;140003278;1;1;0;0;1;1;1;;;;0;1;0
URGENCES;2013;140024886;140000092;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;140026410;140026279;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;150000032;150780088;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;150000040;150780096;1;1;0;0;0;;;;;;;;
URGENCES;2013;150000164;150780468;1;1;0;0;;;;;;;0;1;1
URGENCES;2013;160000253;160000451;1;1;0;1;1;1;1;1;1;1;1;1;1
URGENCES;2013;160000303;160006037;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;160000311;160000485;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;160000337;160000493;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;160015368;160014411;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;170000038;170780050;1;1;0;0;1;1;1;;;1;0;1;1
URGENCES;2013;170000087;170023279;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;170000095;170780167;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;170000103;170780175;1;1;0;1;0;;;;;;1;1;1
URGENCES;2013;170000152;170780225;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;170022065;170022057;1;1;0;0;0;;;;;;0;0;
URGENCES;2013;170022818;170022057;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;170022826;170022057;1;1;0;0;1;;1;;;;0;0;0
URGENCES;2013;180000010;180000028;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;180000200;180000051;1;1;0;0;1;1;1;1;1;1;1;1;1
URGENCES;2013;180000283;180000069;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;190000018;190000042;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;190000026;190000059;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;190000091;190000075;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;210780136;210000030;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;210987558;210780581;1;1;0;1;0;;;;;;0;1;1
URGENCES;2013;210987657;210780714;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;210987665;210010070;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;210987673;210010070;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;210987699;210780706;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;220000012;220000020;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;220000095;220000046;1;1;0;0;0;;;;;;1;0;0
URGENCES;2013;220000343;220000079;1;1;0;0;0;;;;;;1;0;
URGENCES;2013;220000368;220000103;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;220000541;220000152;1;1;0;0;0;;;;;;1;0;0
URGENCES;2013;230000820;230780041;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;230004657;230780058;1;1;0;0;0;;;;;;0;0;
URGENCES;2013;230780199;230000887;1;1;0;0;;;;;;;;;
URGENCES;2013;240000190;240000596;1;1;0;0;;;;;;;0;1;1
URGENCES;2013;240000372;240000059;1;1;0;0;0;;;;;;0;1;0
URGENCES;2013;240000489;240000117;1;1;0;1;;1;1;1;1;1;1;0;0
URGENCES;2013;240000687;240000448;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;250000114;900000365;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;250000700;250000452;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;250006954;250000015;1;1;0;1;0;;;;;;1;0;0
URGENCES;2013;260000013;260000021;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;260000120;260016910;1;1;0;0;0;;;;;;1;0;0
URGENCES;2013;260000138;260000047;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;260000146;260000054;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;260000203;260016910;1;1;0;0;0;;;;;;0;1;0
URGENCES;2013;260000286;260000104;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;270000045;270000060;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;270000326;270000680;1;1;0;0;;;1;;1;;0;1;1
URGENCES;2013;270000359;270023724;1;1;0;1;0;;;;;;1;0;0
URGENCES;2013;270000367;270000086;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;270000391;760024042;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;270000425;270000102;1;1;0;0;0;;;;;;0;0;
URGENCES;2013;270000441;270000110;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;270000458;270023724;1;1;0;0;0;;;;;;;0;
URGENCES;2013;280000084;280000183;1;1;0;0;1;1;;1;;1;0;1;1
URGENCES;2013;280000662;280500075;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;280502998;280000589;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;280504267;280000134;1;1;0;0;0;;;;;;1;0;0
URGENCES;2013;280505777;280001199;1;1;0;0;0;;;;;;;;
URGENCES;2013;290000025;290020700;1;1;0;1;0;;;;;;1;1;1
URGENCES;2013;290000033;290021542;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;290000058;290000017;1;0;0;1;1;;;;;1;0;0;
URGENCES;2013;290000066;290020700;1;1;0;0;0;;;;;;0;1;0
URGENCES;2013;290000173;290000041;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;290000181;290000074;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;290000256;290000017;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;290000728;750821092;1;1;0;0;0;;;;;;0;;
URGENCES;2013;290000785;220020739;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;290000934;290000306;1;1;0;0;0;;;;;;1;0;
URGENCES;2013;290004324;290000017;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;290019777;290022508;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;2A0000022;2A0000014;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;2A0000154;2A0000204;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;2B0000012;2B0000020;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;2B0005359;2B0005342;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;300000023;300780046;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;300000031;300780053;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;300780137;920028396;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;300782117;300780038;1;1;0;1;0;;;;;;1;1;1
URGENCES;2013;300788502;300788486;1;1;0;0;1;;1;;;1;0;1;1
URGENCES;2013;310000310;310780671;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;310016977;310781406;1;0;0;1;0;;;;;;0;1;1
URGENCES;2013;310780101;310000039;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;310780283;310000112;1;1;0;0;1;1;1;1;1;1;1;1;1
URGENCES;2013;310780382;310000179;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;310781000;310788880;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;310781067;310788898;1;1;0;0;;;;;;;;;
URGENCES;2013;310781505;310000492;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;310783048;310781406;1;1;0;0;0;;;;;;0;;1
URGENCES;2013;310783055;310781406;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;320000086;320780117;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;320000102;320780133;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;330000555;330781204;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;330000571;330781220;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;330000589;330027509;1;1;0;0;0;;;;;;0;0;
URGENCES;2013;330000597;330027509;1;1;0;0;0;;;;;;0;0;
URGENCES;2013;330000605;330781253;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;330780263;330000134;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;330780479;330000274;1;1;0;0;;1;1;;;1;0;1;1
URGENCES;2013;330780495;330796392;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;330780529;330796392;1;1;0;0;0;;;;;;0;0;
URGENCES;2013;330780537;330000324;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;330781303;750821092;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;330781352;330781196;1;1;0;0;0;;;;;;1;1;
URGENCES;2013;330781360;330781196;1;1;0;1;1;;1;1;1;1;1;1;1
URGENCES;2013;340000033;340780055;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;340000223;340011295;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;340015502;340000512;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;340015965;340000074;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;340780147;340000108;1;1;0;0;;;;;;;;;
URGENCES;2013;340780154;340000116;1;1;0;0;;;;;;;0;1;1
URGENCES;2013;340780634;340000272;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;340780642;340785856;1;1;0;0;;;;;;;0;1;1
URGENCES;2013;340780667;340000280;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;340780683;340000306;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;340780717;340008150;1;1;0;0;;;;;;;;;
URGENCES;2013;340780725;340000330;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;340785161;340780477;1;1;0;1;0;;;;;;1;1;1
URGENCES;2013;350000121;350000303;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;350000147;350000022;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;350000154;350000030;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;350000162;350000048;1;1;0;0;0;;;;;;1;0;0
URGENCES;2013;350000188;350000055;1;1;0;0;0;;;;;;1;1;0
URGENCES;2013;350000741;350005179;1;1;0;0;1;;1;1;1;1;1;1;1
URGENCES;2013;350005146;350000733;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;350007084;350005179;1;0;0;1;0;;1;;;;0;1;1
URGENCES;2013;360000038;360000046;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;360000137;360000053;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;360000160;360000079;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;370000093;370000192;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;370000499;370000481;1;0;0;1;0;;;;;;0;1;1
URGENCES;2013;370000531;370000606;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;370000879;370000564;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;370000903;370000614;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;370004467;370000481;1;1;0;0;;;;;;;;;
URGENCES;2013;370007569;370007528;1;1;0;0;0;;;;;;0;;
URGENCES;2013;380000026;380780031;1;1;0;0;;;;;;;0;1;1
URGENCES;2013;380000034;380780049;1;1;0;0;0;;;;;;;;
URGENCES;2013;380000042;380780056;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;380000067;380780080;1;1;0;1;1;;1;;;;1;1;1
URGENCES;2013;380000091;380780171;1;0;0;0;0;;;;;;0;0;0
URGENCES;2013;380000174;380781435;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;380000406;380784751;1;1;0;0;;;;;;;1;1;
URGENCES;2013;380012658;380012609;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;380781450;380798140;1;1;0;0;0;;;;;;0;;
URGENCES;2013;380782722;380780080;1;1;0;0;1;;1;;;;0;1;1
URGENCES;2013;380785956;380795211;1;1;0;0;1;;1;;1;1;1;1;1
URGENCES;2013;390000040;390780146;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;390000065;390780161;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;390000214;390780591;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;390000222;390780609;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;400000105;400780193;1;1;0;0;1;1;1;1;1;1;1;1;1
URGENCES;2013;400000139;400011177;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;400782769;400001764;1;1;1;0;0;;;;;;;;
URGENCES;2013;410000020;410000087;1;1;0;0;0;;;;;;1;0;
URGENCES;2013;410000038;410000095;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;410000046;410000103;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;420000010;420780033;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;420000226;420013831;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;420000234;420780652;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;420000267;420013831;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;420010050;420787061;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;420011413;420011405;1;1;0;0;1;1;1;;;;0;1;0
URGENCES;2013;420780504;420000135;1;1;0;0;0;;;;;;0;1;0
URGENCES;2013;420780637;420002495;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;420782310;420000853;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;420785354;420784878;1;1;0;1;0;;;;;;1;1;1
URGENCES;2013;430000117;430000018;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;430000190;430000034;1;1;0;0;0;;;;;;1;0;0
URGENCES;2013;440000016;440000057;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;440000271;440000289;1;1;0;1;;;;;;1;1;1;1
URGENCES;2013;440000396;440000297;1;1;0;0;0;;;;;;0;;
URGENCES;2013;440000503;440000313;1;1;0;0;0;;;;;;1;1;0
URGENCES;2013;440000511;440000461;1;1;0;0;;;;;;1;0;0;0
URGENCES;2013;440041580;440041572;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;450000021;450000088;1;1;0;1;0;;;;;1;0;;
URGENCES;2013;450000047;450000096;1;1;0;0;;;;;;;0;1;1
URGENCES;2013;450000062;450000104;1;1;0;1;0;;;;;;1;0;0
URGENCES;2013;450000070;450000112;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;450000294;450000591;1;1;0;0;1;1;;;;1;0;1;1
URGENCES;2013;450002613;450000088;1;1;0;0;0;;;;;;;1;1
URGENCES;2013;460000045;460780083;1;1;0;0;;;;;;;;;
URGENCES;2013;460000052;460780091;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;460000102;460780208;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;460000110;460780216;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;470000027;470014069;1;1;0;0;0;;;;;;0;0;
URGENCES;2013;470000423;470000316;1;1;0;0;;;;;;;1;1;1
URGENCES;2013;470000431;470000324;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;470000480;470001660;1;1;0;0;0;;;;;;1;0;
URGENCES;2013;480000017;480780097;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;490000049;490000031;1;1;0;1;0;;;;;;1;1;1
URGENCES;2013;490000635;490000676;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;490001765;490528452;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;490014909;490008109;1;1;0;0;;;;;;;0;1;0
URGENCES;2013;500000021;500000054;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;500000187;500000013;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;500000260;500000054;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;500000427;500000096;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;500000450;500000112;1;1;0;0;0;;;;;;0;1;0
URGENCES;2013;500000468;500000013;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;500000591;500000393;1;1;0;0;0;;;;;;0;1;0
URGENCES;2013;510000169;510000037;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;510000185;510000532;1;1;0;0;0;;;;;;;;
URGENCES;2013;510000193;510000557;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;510000235;510000060;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;510000250;510000078;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;510002470;510000029;1;0;0;1;1;1;1;1;;1;;0;0
URGENCES;2013;510004302;510000029;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;520000027;520780032;1;1;0;0;0;;;;;;0;;
URGENCES;2013;520000043;520780057;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;520000068;520780073;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;530000017;530000025;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;530000173;530000074;1;1;0;0;1;1;1;;;1;1;0;0
URGENCES;2013;530000264;530000371;1;1;0;0;0;;;;;;1;;
URGENCES;2013;530031962;530000975;1;1;0;0;1;;;;;1;0;1;1
URGENCES;2013;540000023;540000049;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;540000155;540000080;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;540000296;540000106;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;540000486;540000932;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;540001070;540000767;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;540001096;570010181;1;1;0;0;1;1;1;1;1;1;0;0;0
URGENCES;2013;540001138;540002078;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;540002698;540002078;1;0;0;1;0;;;;;;0;1;1
URGENCES;2013;550000012;550000020;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;550000434;550003354;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;560000127;560023210;1;1;0;1;0;;;;;;1;1;1
URGENCES;2013;560000135;560005746;1;1;0;1;1;1;1;1;1;1;1;0;0
URGENCES;2013;560000143;560014748;1;1;0;0;0;;;;;;0;1;0
URGENCES;2013;560000192;560000044;1;1;0;0;0;;;;;;1;0;0
URGENCES;2013;560000200;560023210;1;1;1;0;0;;;;;;0;1;1
URGENCES;2013;570000059;570025254;1;1;0;0;1;;;;;1;1;1;1
URGENCES;2013;570000117;570015099;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;570000216;570010173;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;570000349;570005165;1;1;0;1;0;;;;;;1;1;1
URGENCES;2013;570000596;750821092;1;1;0;0;1;;1;;;;0;1;1
URGENCES;2013;570000646;570001115;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;570000901;570000158;1;1;0;0;0;;;;;;0;1;1
